MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4443866000,-122.2326731000,12.097950342236459,0.0012762505,0.1,302.62097,1609800005433,,,,
Fix,GT,37.4443866000,-122.2326731000,12.097949981689453,0.00066692743,0.1,302.6195,1609800006433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.097950342236459,0.0012762503,0.1,302.62112,1609800007433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.097950342236459,0.0023573912,0.1,302.62125,1609800008433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.097949621142448,0.0016879509,0.1,302.62137,1609800009433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.098950025470543,0.002236068,0.1,302.6218,1609800010433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.098950025470543,0.001,0.1,302.622,1609800011433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.099950790405273,0.0030707852,0.1,302.62238,1609800012433,,,,
Fix,GT,37.4443866000,-122.2326730000,12.100949880452447,0.002236068,0.1,302.6231,1609800013433,,,,
Fix,GT,37.4443879000,-122.2326756000,12.09695017048864,0.79336786,0.1,302.47678,1609800014433,,,,
Fix,GT,37.4443938000,-122.2326922000,12.09595012664795,2.327264,0.1,297.48386,1609800015433,,,,
Fix,GT,37.4444007000,-122.2327228000,12.121283950529744,3.028272,0.1,287.6088,1609800016433,,,,
Fix,GT,37.4444015000,-122.2327622000,12.106950399072446,3.9318347,0.1,272.6021,1609800017433,,,,
Fix,GT,37.4443912000,-122.2328131000,12.035622907759546,5.3184147,0.1,254.28806,1609800018433,,,,
Fix,GT,37.4443626000,-122.2328708000,11.844623274267008,6.507373,0.1,235.31544,1609800019433,,,,
Fix,GT,37.4443165000,-122.2329254000,11.566956593875688,7.4603324,0.1,220.46173,1609800020433,,,,
Fix,GT,37.4442581000,-122.2329737000,11.216293996489469,7.9624853,0.1,211.9778,1609800021433,,,,
Fix,GT,37.4441967000,-122.2330226000,10.850625136589883,8.184864,0.1,213.0234,1609800022433,,,,
Fix,GT,37.4441380000,-122.2330792000,10.551623791604698,8.281239,0.1,219.7521,1609800023433,,,,
Fix,GT,37.4440893000,-122.2331474000,10.349622242572366,7.7262616,0.1,231.00967,1609800024433,,,,
Fix,GT,37.4440560000,-122.2332168000,10.128286672091804,7.0023623,0.1,241.22919,1609800025433,,,,
Fix,GT,37.4440304000,-122.2332896000,9.908623505036417,7.0996,0.1,248.0375,1609800026433,,,,
Fix,GT,37.4440155000,-122.2333663000,9.550630389940693,6.8997407,0.1,258.97784,1609800027433,,,,
