MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.3713137000,-122.0479783000,9.628049563525622,0.0017620183,0.1,195.26366,1615417983440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628050137402113,0.0011682786,0.1,195.26367,1615417984440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628050137402113,0.002140163,0.1,195.26366,1615417985440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628049850463867,0.0017481004,0.1,195.26376,1615417986440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628049850463867,0.0012459351,0.1,195.26382,1615417987440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628049563525622,0.0021874793,0.1,195.26384,1615417988440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628049850463867,0.0014062605,0.1,195.26395,1615417989440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.628049850463867,0.001,0.1,195.2639,1615417990440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.627049446105957,0.001245935,0.1,195.26385,1615417991440,,,,
Fix,GT,37.3713137000,-122.0479783000,9.626643121902447,0.0017481004,0.1,195.26393,1615417992440,,,,
Fix,GT,37.3713127000,-122.0479786000,9.619050025939941,0.4052093,0.1,195.15088,1615417993440,,,,
Fix,GT,37.3713062000,-122.0479799000,9.621455918365882,1.0207021,0.1,193.17883,1615417994440,,,,
Fix,GT,37.3712952000,-122.0479812000,9.632456272518453,1.4269094,0.1,189.6866,1615417995440,,,,
Fix,GT,37.3712810000,-122.0479828000,9.642862539172114,1.7248363,0.1,187.36737,1615417996440,,,,
Fix,GT,37.3712644000,-122.0479862000,9.66726874520785,1.9494159,0.1,188.97578,1615417997440,,,,
Fix,GT,37.3712490000,-122.0479960000,9.712487016554007,1.6439478,0.1,201.46461,1615417998440,,,,
Fix,GT,37.3712404000,-122.0480119000,9.749268623414423,1.5099213,0.1,221.11118,1615417999440,,,,
Fix,GT,37.3712363000,-122.0480322000,9.77048701561057,1.8170516,0.1,242.49507,1615418000440,,,,
Fix,GT,37.3712375000,-122.0480565000,9.787643272812772,2.1901379,0.1,262.85825,1615418001440,,,,
